ZONE_ID,WAREHOUSE_LOCATION_ID,WHL_PICKUP_ORDERS,ZONE_PICKUP_ORDERS
223,4178,70,490
223,4177,82,490
223,4175,100,490
223,4174,72,490
224,5209,103,103
225,40791,8,483
225,5446,95,483
225,5084,98,483
225,4229,74,483
225,4225,72,483
225,4224,66,483
225,4223,70,483
226,4246,116,218
226,4244,102,218
227,4339,68,68
228,4330,118,118
244,4754,35,160
244,4753,58,160
244,3903,67,160
245,4755,109,658
245,4751,58,658
245,3177,87,658
245,2508,25,658
245,2446,42,658
245,2404,101,658
245,1813,52,658
245,1812,92,658
245,1238,47,658
245,644,45,658
246,32455,5,376
246,12537,46,376
246,12536,62,376
246,9780,95,376
246,4760,32,376
246,4757,43,376
246,3831,36,376
246,3823,57,376
248,31549,74,186
248,4877,39,186
248,4874,73,186
250,4889,41,94
250,4887,53,94
251,4716,9,110
251,4667,65,110
251,3996,36,110
259,36395,53,308
259,23420,52,308
259,23419,34,308
259,5231,57,308
259,4970,112,308
261,23421,39,39
262,33428,16,479
262,25673,52,479
262,17654,63,479
262,17650,37,479
262,17649,47,479
262,17623,34,479
262,17622,59,479
262,17620,79,479
262,17619,17,479
262,17618,75,479
266,25677,13,13
267,25676,19,244
267,7398,225,244
268,7397,230,230
272,5774,160,184
272,5772,24,184
274,37213,49,439
274,23441,36,439
274,23440,54,439
274,5435,138,439
274,4298,60,439
274,3265,102,439
276,7601,5,76
276,5431,71,76
280,5418,12,51
280,5416,8,51
280,5415,7,51
280,5412,5,51
280,5411,19,51
282,5425,53,284
282,5424,22,284
282,5423,25,284
282,5422,62,284
282,5421,49,284
282,5420,73,284
283,22288,3,3
288,12481,35,104
288,12479,22,104
288,12478,4,104
288,12477,43,104
297,36563,35,35
302,37207,107,295
302,32485,2,295
302,7746,186,295
305,11089,10,120
305,11088,6,120
305,11087,20,120
305,11086,5,120
305,11085,27,120
305,11084,21,120
305,11083,1,120
305,11082,10,120
305,11080,3,120
305,11079,15,120
305,11078,1,120
305,11076,1,120
308,18570,4,4
309,36687,48,226
309,35568,41,226
309,23498,68,226
309,23497,28,226
309,5878,41,226
334,32338,109,358
334,32336,115,358
334,23537,134,358
336,15369,4,4
337,7154,2,12
337,7152,1,12
337,7151,3,12
337,556,6,12
347,27328,7,294
347,7321,114,294
347,7320,67,294
347,7315,106,294
348,37208,39,467
348,34316,100,467
348,7268,69,467
348,7264,166,467
348,7261,39,467
348,7254,54,467
354,7508,168,168
355,7524,61,61
357,39673,43,271
357,37196,42,271
357,7620,93,271
357,7613,44,271
357,7611,49,271
358,23568,50,152
358,14337,57,152
358,14321,45,152
360,23570,67,177
360,14384,35,177
360,14357,75,177
365,32967,27,104
365,17658,41,104
365,17655,16,104
365,17651,20,104
366,33235,20,79
366,17661,59,79
367,17667,84,149
367,17666,37,149
367,17665,28,149
368,17656,40,73
368,17652,33,73
369,14600,31,31
370,12710,37,37
371,14601,31,31
372,8078,12,28
372,8077,3,28
372,8076,13,28
373,9678,6,14
373,9676,8,14
375,5798,133,133
377,8574,160,160
378,8595,135,135
379,8334,115,115
380,21474,8,10
380,21470,2,10
381,30468,6,6
386,21478,2,256
386,21475,3,256
386,21461,2,256
386,21047,4,256
386,8394,245,256
387,23601,76,194
387,23600,118,194
388,24808,129,133
388,21535,1,133
388,21532,1,133
388,21530,1,133
388,21490,1,133
391,21053,3,3
392,21524,2,397
392,21507,4,397
392,21488,4,397
392,21473,2,397
392,21469,2,397
392,21050,4,397
392,21049,3,397
392,15423,248,397
392,7395,128,397
394,9269,88,88
395,31448,115,263
395,27054,148,263
397,36463,58,58
404,9224,99,99
405,9533,2,417
405,9532,2,417
405,9531,1,417
405,7406,404,417
405,2779,4,417
405,2778,4,417
410,18287,2,295
410,9558,1,295
410,9557,5,295
410,9556,2,295
410,7405,284,295
410,2777,1,295
413,39647,1,446
413,23639,84,446
413,23638,36,446
413,23637,83,446
413,23634,76,446
413,23633,148,446
413,15670,2,446
413,15506,2,446
413,9760,4,446
413,9759,3,446
413,9757,3,446
413,9754,3,446
413,9725,1,446
415,9720,53,53
417,9713,21,21
419,10739,2,11
419,9709,9,11
421,9796,44,44
422,9821,130,130
424,25197,14,36
424,10018,3,36
424,10017,12,36
